iteration,owner_loss,other_loss,u1,u2,u3
12,0.72,0.77,9546.0,9156.0,9766.0
12,0.72,0.78,10838.0,8092.0,8192.0
12,0.72,0.79,10819.0,8274.0,8910.0
12,0.72,0.8,9904.0,8582.0,9824.0
12,0.72,0.81,10872.0,9338.0,9498.0
12,0.72,0.8200000000000001,12131.0,8820.0,8603.0
12,0.72,0.8300000000000001,10591.0,9158.0,10535.0
12,0.72,0.8400000000000001,10677.0,9839.0,10391.0
12,0.72,0.8500000000000001,11667.0,8314.0,9237.0
12,0.72,0.8600000000000001,10700.0,10053.0,10105.0
12,0.72,0.8700000000000001,11057.0,9549.0,11557.0
12,0.72,0.88,11387.0,9401.0,12106.0
12,0.72,0.89,11969.0,10610.0,11963.0
12,0.72,0.9,13065.0,8233.0,11792.0
13,0.73,0.6,8719.0,7832.0,7842.0
13,0.73,0.61,9921.0,7845.0,6436.0
13,0.73,0.62,10391.0,7426.0,6939.0
13,0.73,0.63,9272.0,8948.0,6792.0
13,0.73,0.64,10027.0,7303.0,7679.0
13,0.73,0.65,9016.0,8726.0,7563.0
13,0.73,0.66,8924.0,8950.0,7368.0
13,0.73,0.6699999999999999,9767.0,7893.0,8539.0
13,0.73,0.6799999999999999,9360.0,8071.0,8404.0
13,0.73,0.69,9872.0,9359.0,7165.0
13,0.73,0.7,10688.0,8206.0,8108.0
13,0.73,0.71,8975.0,8572.0,8844.0
13,0.73,0.72,10408.0,8600.0,8166.0
13,0.73,0.73,9814.0,8891.0,8300.0
13,0.73,0.74,8921.0,8740.0,9254.0
13,0.73,0.75,9449.0,8580.0,9327.0
13,0.73,0.76,9283.0,9185.0,9289.0
13,0.73,0.77,9358.0,9696.0,9555.0
13,0.73,0.78,9742.0,9458.0,8813.0
13,0.73,0.79,10912.0,8710.0,9157.0
13,0.73,0.8,10644.0,9043.0,9336.0
13,0.73,0.81,10937.0,8345.0,9227.0
13,0.73,0.8200000000000001,10490.0,9105.0,10059.0
13,0.73,0.8300000000000001,11992.0,8765.0,8319.0
13,0.73,0.8400000000000001,11268.0,9715.0,9888.0
13,0.73,0.8500000000000001,11156.0,8962.0,9589.0
13,0.73,0.8600000000000001,12132.0,9250.0,9762.0
13,0.73,0.8700000000000001,12543.0,9732.0,10094.0
13,0.73,0.88,11482.0,9366.0,10356.0
13,0.73,0.89,11928.0,10466.0,11322.0
13,0.73,0.9,11412.0,11117.0,11198.0
14,0.74,0.6,10324.0,8643.0,6254.0
14,0.74,0.61,8112.0,8765.0,6697.0
14,0.74,0.62,9775.0,8578.0,7468.0
14,0.74,0.63,10081.0,7374.0,7430.0
14,0.74,0.64,9148.0,7480.0,8182.0
14,0.74,0.65,9124.0,8614.0,7601.0
14,0.74,0.66,10614.0,8850.0,6851.0
14,0.74,0.6699999999999999,10355.0,9158.0,6790.0
14,0.74,0.6799999999999999,10468.0,7734.0,8774.0
14,0.74,0.69,9619.0,8389.0,7791.0
14,0.74,0.7,8949.0,9133.0,8651.0
14,0.74,0.71,10235.0,9132.0,7796.0
14,0.74,0.72,10122.0,8093.0,8639.0
14,0.74,0.73,10555.0,8432.0,8655.0
14,0.74,0.74,10289.0,8937.0,8701.0
14,0.74,0.75,9080.0,9461.0,9354.0
14,0.74,0.76,10300.0,8904.0,8800.0
14,0.74,0.77,10978.0,8200.0,9351.0
14,0.74,0.78,9585.0,9610.0,9592.0
14,0.74,0.79,11296.0,8294.0,8501.0
14,0.74,0.8,10763.0,9692.0,8766.0
14,0.74,0.81,11129.0,9144.0,10050.0
14,0.74,0.8200000000000001,10525.0,9775.0,10345.0
14,0.74,0.8300000000000001,11879.0,8785.0,8662.0
14,0.74,0.8400000000000001,10752.0,9209.0,11301.0
14,0.74,0.8500000000000001,11048.0,9209.0,11097.0
14,0.74,0.8600000000000001,11312.0,9899.0,10736.0
14,0.74,0.8700000000000001,12215.0,9436.0,11421.0
14,0.74,0.88,13319.0,9223.0,9311.0
14,0.74,0.89,12256.0,11555.0,10673.0
14,0.74,0.9,11637.0,9648.0,11709.0
15,0.75,0.6,9723.0,9082.0,6000.0
15,0.75,0.61,9664.0,8778.0,6833.0
15,0.75,0.62,10242.0,7882.0,7188.0
15,0.75,0.63,10019.0,7683.0,7498.0
15,0.75,0.64,9698.0,7663.0,8169.0
15,0.75,0.65,8902.0,7285.0,7353.0
15,0.75,0.66,9148.0,7169.0,8922.0
15,0.75,0.6699999999999999,9859.0,8075.0,8101.0
15,0.75,0.6799999999999999,9156.0,7540.0,9020.0
15,0.75,0.69,10051.0,8339.0,7893.0
15,0.75,0.7,9591.0,9035.0,8061.0
15,0.75,0.71,10528.0,7844.0,8090.0
